id,label
0,1
1,8
2,9
3,9
4,6
5,2
6,8
7,2
8,3
9,3
10,5
11,4
12,0
13,4
14,6
15,7
16,2
17,3
18,1
19,8
20,8
21,3
22,1
23,1
24,2
25,6
26,2
27,7
28,6
29,1
30,1
31,3
32,0
33,0
34,1
35,5
36,0
37,1
38,5
39,0
40,3
41,8
42,6
43,6
44,8
45,7
46,2
47,4
48,4
49,6
50,6
51,3
52,9
53,5
54,8
55,7
56,1
57,3
58,7
59,3
60,9
61,4
62,7
63,0
64,2
65,4
66,7
67,6
68,9
69,9
70,3
71,7
72,2
73,9
74,9
75,7
76,8
77,7
78,3
79,5
80,7
81,9
82,9
83,5
84,2
85,0
86,6
87,0
88,8
89,1
90,6
91,4
92,0
93,1
94,7
95,8
96,1
97,9
98,2
99,6
100,3
101,1
102,1
103,6
104,3
105,1
106,0
107,7
108,1
109,4
110,3
111,8
112,3
113,4
114,6
115,7
116,8
117,3
118,0
119,6
120,7
121,3
122,0
123,2
124,7
125,8
126,1
127,3
128,0
129,8
130,4
131,5
132,6
133,5
134,1
135,8
136,9
137,3
138,2
139,1
140,2
141,8
142,7
143,4
144,4
145,8
146,5
147,0
148,1
149,6
150,4
151,9
152,7
153,5
154,6
155,3
156,3
157,3
158,1
159,9
160,8
161,9
162,8
163,1
164,6
165,3
166,6
167,9
168,6
169,1
170,4
171,8
172,3
173,4
174,1
175,1
176,5
177,2
178,0
179,1
180,9
181,7
182,4
183,6
184,3
185,2
186,9
187,1
188,0
189,3
190,6
191,6
192,6
193,2
194,1
195,3
196,5
197,6
198,8
199,3
200,1
201,1
202,0
203,5
204,1
205,2
206,3
207,5
208,9
209,3
210,0
211,8
212,2
213,6
214,1
215,5
216,6
217,7
218,8
219,5
220,1
221,8
222,4
223,3
224,2
225,2
226,3
227,8
228,2
229,1
230,1
231,6
232,0
233,5
234,2
235,4
236,1
237,7
238,6
239,5
240,1
241,0
242,2
243,2
244,5
245,7
246,7
247,3
248,8
249,4
250,5
251,3
252,0
253,4
254,9
255,0
256,4
257,1
258,3
259,0
260,8
261,1
262,3
263,9
264,2
265,2
266,1
267,1
268,5
269,3
270,8
271,1
272,3
273,0
274,2
275,2
276,6
277,5
278,9
279,4
280,5
281,4
282,9
283,6
284,6
285,0
286,7
287,7
288,9
289,3
290,0
291,6
292,7
293,3
294,3
295,8
296,6
297,0
298,2
299,8
300,1
301,6
302,2
303,4
304,4
305,8
306,2
307,4
308,5
309,4
310,7
311,6
312,3
313,5
314,6
315,3
316,6
317,8
318,5
319,2
320,0
321,1
322,6
323,4
324,5
325,5
326,4
327,5
328,1
329,5
330,7
331,8
332,2
333,6
334,9
335,9
336,7
337,9
338,2
339,4
340,4
341,4
342,0
343,3
344,9
345,3
346,3
347,7
348,5
349,0
350,1
351,5
352,6
353,8
354,1
355,8
356,5
357,5
358,1
359,3
360,9
361,2
362,8
363,8
364,7
365,0
366,1
367,1
368,0
369,6
370,3
371,0
372,4
373,8
374,1
375,0
376,4
377,3
378,6
379,3
380,2
381,7
382,0
383,6
384,2
385,1
386,7
387,1
388,2
389,7
390,9
391,0
392,5
393,1
394,4
395,8
396,3
397,0
398,5
399,1
400,5
401,4
402,6
403,2
404,1
405,7
406,8
407,5
408,7
409,5
410,0
411,3
412,0
413,9
414,9
415,0
416,6
417,6
418,9
419,1
420,7
421,0
422,3
423,0
424,9
425,8
426,0
427,7
428,6
429,9
430,8
431,9
432,7
433,3
434,7
435,0
436,1
437,7
438,7
439,8
440,9
441,2
442,4
443,0
444,7
445,2
446,3
447,5
448,0
449,3
450,4
451,4
452,2
453,9
454,3
455,1
456,3
457,0
458,3
459,1
460,8
461,0
462,7
463,0
464,7
465,1
466,7
467,7
468,7
469,6
470,0
471,3
472,2
473,1
474,9
475,7
476,1
477,2
478,4
479,0
480,2
481,5
482,8
483,9
484,4
485,0
486,0
487,7
488,6
489,5
490,8
491,8
492,7
493,6
494,7
495,2
496,1
497,0
498,0
499,9
500,8
501,4
502,8
503,3
504,8
505,8
506,5
507,5
508,2
509,6
510,5
511,0
512,9
513,4
514,2
515,7
516,8
517,2
518,7
519,1
520,1
521,4
522,1
523,5
524,2
525,3
526,0
527,2
528,7
529,8
530,7
531,7
532,6
533,1
534,7
535,3
536,5
537,1
538,9
539,8
540,0
541,9
542,6
543,1
544,1
545,8
546,9
547,9
548,9
549,4
550,5
551,5
552,8
553,3
554,4
555,9
556,5
557,9
558,9
559,6
560,1
561,7
562,4
563,2
564,2
565,4
566,9
567,4
568,1
569,8
570,0
571,6
572,0
573,8
574,5
575,8
576,3
577,3
578,3
579,4
580,4
581,4
582,3
583,7
584,9
585,4
586,9
587,0
588,1
589,7
590,4
591,7
592,3
593,0
594,8
595,0
596,6
597,6
598,5
599,5
600,9
601,5
602,4
603,8
604,2
605,5
606,3
607,1
608,2
609,9
610,8
611,8
612,6
613,1
614,2
615,2
616,3
617,8
618,5
619,2
620,2
621,9
622,4
623,7
624,4
625,5
626,1
627,6
628,5
629,3
630,8
631,8
632,5
633,2
634,5
635,2
636,7
637,4
638,8
639,5
640,6
641,6
642,8
643,5
644,3
645,3
646,3
647,6
648,3
649,9
650,4
651,0
652,3
653,1
654,5
655,1
656,4
657,4
658,8
659,5
660,5
661,5
662,3
663,7
664,6
665,3
666,0
667,9
668,8
669,6
670,3
671,0
672,4
673,5
674,4
675,1
676,7
677,2
678,3
679,4
680,4
681,6
682,6
683,8
684,4
685,8
686,5
687,5
688,3
689,4
690,0
691,7
692,1
693,4
694,5
695,4
696,6
697,0
698,0
699,6
700,2
701,6
702,0
703,4
704,5
705,9
706,5
707,5
708,1
709,3
710,6
711,1
712,8
713,0
714,8
715,9
716,5
717,0
718,1
719,3
720,9
721,3
722,6
723,2
724,0
725,0
726,4
727,8
728,3
729,4
730,3
731,4
732,5
733,2
734,8
735,3
736,3
737,8
738,7
739,6
740,3
741,6
742,6
743,4
744,3
745,9
746,8
747,9
748,2
749,0
750,9
751,5
752,6
753,9
754,1
755,3
756,9
757,3
758,6
759,3
760,8
761,6
762,2
763,3
764,8
765,1
766,5
767,9
768,0
769,6
770,7
771,8
772,6
773,9
774,2
775,9
776,1
777,6
778,6
779,2
780,2
781,0
782,3
783,7
784,9
785,3
786,2
787,7
788,7
789,8
790,9
791,5
792,7
793,3
794,9
795,5
796,9
797,9
798,8
799,8
800,8
801,4
802,3
803,1
804,3
805,1
806,6
807,6
808,6
809,8
810,2
811,0
812,4
813,6
814,2
815,7
816,3
817,8
818,6
819,4
820,1
821,7
822,9
823,8
824,7
825,5
826,0
827,2
828,1
829,6
830,6
831,8
832,9
833,4
834,6
835,7
836,4
837,0
838,5
839,7
840,0
841,0
842,7
843,3
844,9
845,8
846,6
847,4
848,2
849,0
850,6
851,1
852,1
853,4
854,1
855,6
856,5
857,1
858,8
859,7
860,0
861,1
862,8
863,3
864,8
865,3
866,1
867,7
868,6
869,7
870,8
871,5
872,6
873,0
874,8
875,2
876,1
877,7
878,9
879,4
880,6
881,1
882,8
883,1
884,7
885,3
886,1
887,0
888,3
889,3
890,2
891,2
892,6
893,5
894,5
895,8
896,8
897,9
898,4
899,3
900,7
901,4
902,9
903,7
904,9
905,6
906,5
907,8
908,0
909,2
910,3
911,6
912,4
913,2
914,0
915,1
916,3
917,1
918,7
919,3
920,7
921,3
922,0
923,2
924,9
925,7
926,1
927,1
928,4
929,1
930,0
931,0
932,7
933,1
934,8
935,9
936,1
937,9
938,4
939,3
940,9
941,9
942,8
943,5
944,2
945,0
946,4
947,7
948,4
949,1
950,6
951,9
952,8
953,3
954,5
955,2
956,3
957,4
958,8
959,2
960,1
961,5
962,1
963,2
964,5
965,3
966,1
967,8
968,7
969,9
970,7
971,5
972,3
973,1
974,6
975,5
976,0
977,5
978,4
979,9
980,0
981,0
982,0
983,5
984,0
985,3
986,2
987,8
988,2
989,9
990,4
991,1
992,9
993,3
994,6
995,1
996,8
997,5
998,9
999,0
1000,3
1001,3
1002,9
1003,4
1004,5
1005,7
1006,9
1007,3
1008,5
1009,9
1010,9
1011,7
1012,2
1013,4
1014,5
1015,0
1016,4
1017,7
1018,4
1019,9
1020,2
1021,3
1022,2
1023,8
1024,9
1025,2
1026,4
1027,3
1028,8
1029,9
1030,0
1031,7
1032,5
1033,9
1034,9
1035,4
1036,3
1037,2
1038,6
1039,9
1040,5
1041,7
1042,1
1043,7
1044,9
1045,6
1046,6
1047,4
1048,3
1049,5
1050,5
1051,2
1052,2
1053,8
1054,8
1055,6
1056,4
1057,0
1058,8
1059,7
1060,9
1061,6
1062,7
1063,0
1064,3
1065,7
1066,9
1067,4
1068,7
1069,9
1070,0
1071,5
1072,3
1073,0
1074,1
1075,3
1076,0
1077,8
1078,4
1079,7
1080,0
1081,3
1082,0
1083,2
1084,8
1085,2
1086,0
1087,4
1088,7
1089,1
1090,7
1091,8
1092,2
1093,3
1094,4
1095,1
1096,7
1097,0
1098,5
1099,7
1100,7
1101,6
1102,6
1103,3
1104,7
1105,1
1106,8
1107,8
1108,1
1109,6
1110,6
1111,1
1112,2
1113,9
1114,2
1115,2
1116,0
1117,5
1118,9
1119,0
1120,3
1121,6
1122,8
1123,2
1124,8
1125,2
1126,9
1127,4
1128,6
1129,9
1130,1
1131,2
1132,0
1133,1
1134,3
1135,0
1136,6
1137,2
1138,5
1139,3
1140,8
1141,3
1142,8
1143,4
1144,6
1145,4
1146,6
1147,4
1148,2
1149,6
1150,0
1151,3
1152,9
1153,1
1154,0
1155,4
1156,4
1157,1
1158,9
1159,4
1160,1
1161,1
1162,1
1163,3
1164,4
1165,5
1166,9
1167,7
1168,7
1169,5
1170,5
1171,8
1172,2
1173,1
1174,1
1175,2
1176,8
1177,7
1178,2
1179,8
1180,4
1181,4
1182,3
1183,6
1184,7
1185,0
1186,0
1187,0
1188,8
1189,7
1190,1
1191,2
1192,7
1193,3
1194,7
1195,8
1196,9
1197,1
1198,4
1199,6
1200,3
1201,5
1202,4
1203,8
1204,6
1205,5
1206,5
1207,5
1208,3
1209,7
1210,6
1211,6
1212,7
1213,3
1214,1
1215,9
1216,1
1217,2
1218,5
1219,6
1220,1
1221,2
1222,2
1223,4
1224,0
1225,7
1226,9
1227,4
1228,8
1229,1
1230,9
1231,6
1232,0
1233,0
1234,4
1235,4
1236,7
1237,3
1238,2
1239,4
1240,9
1241,5
1242,0
1243,4
1244,4
1245,3
1246,1
1247,8
1248,6
1249,7
1250,2
1251,2
1252,8
1253,6
1254,5
1255,9
1256,8
1257,6
1258,2
1259,8
1260,8
1261,0
1262,1
1263,4
1264,0
1265,2
1266,5
1267,6
1268,6
1269,4
1270,3
1271,6
1272,8
1273,3
1274,6
1275,3
1276,7
1277,3
1278,1
1279,2
1280,0
1281,0
1282,5
1283,3
1284,0
1285,6
1286,1
1287,7
1288,8
1289,7
1290,1
1291,6
1292,7
1293,6
1294,5
1295,5
1296,2
1297,1
1298,9
1299,6
1300,3
1301,1
1302,5
1303,6
1304,6
1305,1
1306,5
1307,6
1308,3
1309,8
1310,0
1311,1
1312,6
1313,1
1314,3
1315,7
1316,4
1317,8
1318,0
1319,0
1320,3
1321,2
1322,9
1323,8
1324,9
1325,1
1326,0
1327,6
1328,8
1329,7
1330,3
1331,1
1332,2
1333,3
1334,3
1335,3
1336,9
1337,8
1338,2
1339,1
1340,7
1341,4
1342,7
1343,8
1344,3
1345,6
1346,6
1347,5
1348,0
1349,7
1350,4
1351,9
1352,0
1353,2
1354,7
1355,6
1356,3
1357,4
1358,7
1359,0
1360,4
1361,4
1362,6
1363,9
1364,4
1365,5
1366,4
1367,0
1368,5
1369,0
1370,0
1371,2
1372,7
1373,4
1374,1
1375,0
1376,9
1377,5
1378,4
1379,5
1380,8
1381,9
1382,0
1383,5
1384,4
1385,3
1386,8
1387,1
1388,3
1389,1
1390,0
1391,1
1392,1
1393,7
1394,8
1395,4
1396,5
1397,2
1398,6
1399,2
1400,3
1401,2
1402,3
1403,4
1404,8
1405,4
1406,4
1407,0
1408,6
1409,3
1410,9
1411,3
1412,6
1413,9
1414,8
1415,2
1416,6
1417,1
1418,1
1419,9
1420,9
1421,6
1422,9
1423,5
1424,1
1425,7
1426,3
1427,9
1428,8
1429,9
1430,3
1431,9
1432,2
1433,6
1434,5
1435,2
1436,6
1437,6
1438,2
1439,4
1440,0
1441,3
1442,5
1443,5
1444,5
1445,9
1446,4
1447,8
1448,5
1449,7
1450,2
1451,9
1452,9
1453,6
1454,0
1455,1
1456,3
1457,6
1458,7
1459,4
1460,8
1461,1
1462,0
1463,7
1464,4
1465,2
1466,9
1467,9
1468,3
1469,1
1470,3
1471,6
1472,0
1473,3
1474,1
1475,3
1476,8
1477,7
1478,2
1479,4
1480,1
1481,6
1482,6
1483,6
1484,5
1485,1
1486,2
1487,2
1488,2
1489,1
1490,6
1491,0
1492,8
1493,8
1494,3
1495,6
1496,1
1497,1
1498,6
1499,6
1500,3
1501,4
1502,3
1503,0
1504,7
1505,5
1506,0
1507,1
1508,7
1509,0
1510,1
1511,1
1512,5
1513,4
1514,4
1515,2
1516,9
1517,9
1518,6
1519,8
1520,8
1521,3
1522,2
1523,8
1524,2
1525,0
1526,8
1527,8
1528,1
1529,2
1530,5
1531,0
1532,7
1533,1
1534,0
1535,0
1536,9
1537,9
1538,1
1539,0
1540,2
1541,6
1542,7
1543,7
1544,2
1545,8
1546,3
1547,3
1548,3
1549,7
1550,0
1551,4
1552,4
1553,7
1554,9
1555,4
1556,3
1557,1
1558,5
1559,0
1560,8
1561,2
1562,2
1563,4
1564,3
1565,0
1566,6
1567,4
1568,1
1569,3
1570,2
1571,1
1572,1
1573,8
1574,5
1575,3
1576,6
1577,5
1578,4
1579,9
1580,4
1581,2
1582,0
1583,8
1584,5
1585,9
1586,1
1587,8
1588,0
1589,1
1590,4
1591,4
1592,3
1593,9
1594,8
1595,1
1596,2
1597,9
1598,1
1599,4
1600,5
1601,0
1602,8
1603,9
1604,2
1605,6
1606,3
1607,2
1608,9
1609,3
1610,9
1611,1
1612,3
1613,6
1614,7
1615,3
1616,0
1617,8
1618,7
1619,7
1620,6
1621,9
1622,7
1623,2
1624,3
1625,0
1626,7
1627,5
1628,9
1629,2
1630,3
1631,3
1632,2
1633,6
1634,3
1635,2
1636,3
1637,1
1638,3
1639,6
1640,3
1641,3
1642,3
1643,3
1644,2
1645,3
1646,0
1647,3
1648,1
1649,1
1650,6
1651,5
1652,6
1653,3
1654,6
1655,2
1656,5
1657,5
1658,3
1659,4
1660,2
1661,6
1662,6
1663,3
1664,9
1665,1
1666,4
1667,0
1668,7
1669,3
1670,5
1671,3
1672,8
1673,3
1674,1
1675,6
1676,6
1677,4
1678,8
1679,3
1680,4
1681,4
1682,8
1683,6
1684,9
1685,1
1686,2
1687,0
1688,7
1689,2
1690,3
1691,6
1692,1
1693,0
1694,2
1695,7
1696,2
1697,2
1698,0
1699,9
1700,3
1701,8
1702,0
1703,0
1704,2
1705,6
1706,6
1707,4
1708,9
1709,4
1710,5
1711,2
1712,4
1713,5
1714,5
1715,5
1716,2
1717,0
1718,2
1719,3
1720,3
1721,8
1722,3
1723,5
1724,6
1725,1
1726,9
1727,4
1728,8
1729,7
1730,7
1731,7
1732,2
1733,4
1734,7
1735,8
1736,9
1737,7
1738,0
1739,8
1740,6
1741,1
1742,5
1743,8
1744,6
1745,3
1746,3
1747,1
1748,2
1749,3
1750,2
1751,0
1752,0
1753,1
1754,6
1755,1
1756,5
1757,4
1758,0
1759,6
1760,1
1761,6
1762,4
1763,6
1764,1
1765,5
1766,1
1767,3
1768,6
1769,0
1770,2
1771,1
1772,7
1773,2
1774,6
1775,1
1776,2
1777,0
1778,0
1779,3
1780,0
1781,5
1782,1
1783,4
1784,6
1785,7
1786,0
1787,0
1788,1
1789,3
1790,1
1791,9
1792,4
1793,7
1794,9
1795,6
1796,1
1797,8
1798,3
1799,6
1800,9
1801,6
1802,7
1803,0
1804,7
1805,0
1806,3
1807,7
1808,9
1809,4
1810,5
1811,5
1812,4
1813,4
1814,6
1815,7
1816,1
1817,9
1818,9
1819,3
1820,6
1821,1
1822,1
1823,4
1824,9
1825,8
1826,8
1827,0
1828,4
1829,7
1830,3
1831,7
1832,6
1833,1
1834,4
1835,2
1836,1
1837,8
1838,5
1839,2
1840,1
1841,9
1842,2
1843,0
1844,0
1845,2
1846,5
1847,2
1848,9
1849,9
1850,1
1851,7
1852,3
1853,8
1854,1
1855,3
1856,0
1857,9
1858,0
1859,6
1860,8
1861,3
1862,4
1863,7
1864,0
1865,0
1866,1
1867,9
1868,8
1869,1
1870,6
1871,5
1872,3
1873,6
1874,0
1875,3
1876,2
1877,5
1878,4
1879,8
1880,6
1881,4
1882,2
1883,0
1884,6
1885,6
1886,2
1887,5
1888,2
1889,8
1890,3
1891,6
1892,9
1893,9
1894,9
1895,3
1896,3
1897,8
1898,5
1899,4
1900,9
1901,0
1902,7
1903,5
1904,1
1905,3
1906,9
1907,5
1908,6
1909,4
1910,8
1911,7
1912,4
1913,1
1914,1
1915,9
1916,8
1917,8
1918,5
1919,9
1920,6
1921,1
1922,2
1923,7
1924,3
1925,8
1926,3
1927,8
1928,3
1929,3
1930,4
1931,0
1932,1
1933,9
1934,7
1935,8
1936,8
1937,2
1938,0
1939,3
1940,0
1941,8
1942,4
1943,5
1944,8
1945,0
1946,4
1947,6
1948,8
1949,7
1950,9
1951,3
1952,4
1953,0
1954,3
1955,0
1956,4
1957,1
1958,7
1959,6
1960,4
1961,3
1962,7
1963,4
1964,7
1965,0
1966,4
1967,1
1968,2
1969,0
1970,2
1971,1
1972,7
1973,2
1974,3
1975,1
1976,0
1977,9
1978,6
1979,8
1980,0
1981,0
1982,3
1983,8
1984,0
1985,7
1986,9
1987,5
1988,8
1989,8
1990,6
1991,3
1992,1
1993,2
1994,8
1995,3
1996,8
1997,0
1998,0
1999,2
2000,2
2001,7
2002,3
2003,4
2004,9
2005,2
2006,7
2007,2
2008,2
2009,3
2010,3
2011,9
2012,4
2013,4
2014,4
2015,6
2016,9
2017,5
2018,0
2019,6
2020,1
2021,7
2022,9
2023,4
2024,1
2025,7
2026,3
2027,6
2028,3
2029,4
2030,7
2031,2
2032,0
2033,8
2034,7
2035,1
2036,0
2037,6
2038,1
2039,9
2040,4
2041,3
2042,7
2043,1
2044,3
2045,7
2046,9
2047,2
2048,3
2049,7
2050,2
2051,5
2052,6
2053,9
2054,3
2055,1
2056,3
2057,1
2058,8
2059,9
2060,7
2061,3
2062,8
2063,9
2064,4
2065,8
2066,2
2067,4
2068,6
2069,3
2070,6
2071,0
2072,5
2073,2
2074,6
2075,1
2076,7
2077,5
2078,7
2079,5
2080,5
2081,5
2082,3
2083,4
2084,8
2085,7
2086,4
2087,3
2088,5
2089,2
2090,8
2091,4
2092,8
2093,3
2094,7
2095,0
2096,8
2097,1
2098,3
2099,1
2100,4
2101,9
2102,6
2103,3
2104,0
2105,3
2106,3
2107,7
2108,4
2109,1
2110,2
2111,2
2112,9
2113,7
2114,8
2115,4
2116,0
2117,3
2118,8
2119,8
2120,1
2121,9
2122,9
2123,7
2124,1
2125,7
2126,6
2127,1
2128,5
2129,3
2130,5
2131,3
2132,8
2133,3
2134,1
2135,6
2136,7
2137,7
2138,0
2139,1
2140,7
2141,7
2142,5
2143,1
2144,4
2145,6
2146,5
